regiao;municipio
regiao do Centro;Abrantes
regiao do Centro;Águeda
regiao do Centro;Aguiar da Beira
Alentejo;Alandroal
regiao do Centro;Albergaria-a-Velha
Algarve;Albufeira
Alentejo;Alcácer do Sal
regiao do Centro;Alcanena
regiao do Centro;Alcobaça
regiao de Lisboa;Alcochete
Algarve;Alcoutim
regiao do Centro;Alenquer
regiao do Norte;Alfândega da Fé
regiao do Norte;Alijó
Algarve;Aljezur
Alentejo;Aljustrel
regiao de Lisboa;Almada
regiao do Centro;Almeida
Alentejo;Almeirim
Alentejo;Almodôvar
Alentejo;Alpiarça
Alentejo;Alter do Chão
regiao do Centro;Alvaiázere
Alentejo;Alvito
regiao de Lisboa;Amadora
regiao do Norte;Amarante
regiao do Norte;Amares
regiao do Centro;Anadia
regiao do Centro;Ansião
regiao do Norte;Arcos de Valdevez
regiao do Centro;Arganil
regiao do Norte;Armamar
regiao do Norte;Arouca
Alentejo;Arraiolos
Alentejo;Arronches
regiao do Centro;Arruda dos Vinhos
regiao do Centro;Aveiro
Alentejo;Avis
Alentejo;Azambuja
regiao do Norte;Baião
regiao do Norte;Barcelos
Alentejo;Barrancos
regiao de Lisboa;Barreiro
regiao do Centro;Batalha
Alentejo;Beja
regiao do Centro;Belmonte
Alentejo;Benavente
regiao do Centro;Bombarral
Alentejo;Borba
regiao do Norte;Boticas
regiao do Norte;Braga
regiao do Norte;Bragança
regiao do Norte;Cabeceiras de Basto
regiao do Centro;Cadaval
regiao do Centro;Caldas da Rainha
regiao do Norte;Caminha
Alentejo;Campo Maior
regiao do Centro;Cantanhede
regiao do Norte;Carrazeda de Ansiães
regiao do Centro;Carregal do Sal
Alentejo;Cartaxo
regiao de Lisboa;Cascais
regiao do Centro;Castanheira de Pera
regiao do Centro;Castelo Branco
regiao do Norte;Castelo de Paiva
Alentejo;Castelo de Vide
regiao do Centro;Castro Daire
Algarve;Castro Marim
Alentejo;Castro Verde
regiao do Centro;Celorico da Beira
regiao do Norte;Celorico de Basto
Alentejo;Chamusca
regiao do Norte;Chaves
regiao do Norte;Cinfães
regiao do Centro;Coimbra
regiao do Centro;Condeixa-a-Nova
regiao do Centro;Constância
Alentejo;Coruche
regiao do Centro;Covilhã
Alentejo;Crato
Alentejo;Cuba
Alentejo;Elvas
regiao do Centro;Entroncamento
regiao do Norte;Espinho
regiao do Norte;Esposende
regiao do Centro;Estarreja
Alentejo;Estremoz
Alentejo;Évora
regiao do Norte;Fafe
Algarve;Faro
regiao do Norte;Felgueiras
Alentejo;Ferreira do Alentejo
regiao do Centro;Ferreira do Zêzere
regiao do Centro;Figueira da Foz
regiao do Centro;Figueira de Castelo Rodrigo
regiao do Centro;Figueiró dos Vinhos
regiao do Centro;Fornos de Algodres
regiao do Norte;Freixo de Espada à Cinta
Alentejo;Fronteira
regiao do Centro;Fundão
Alentejo;Gavião
